						Ejecutado				1									1				Ejecutado	0		0
18	Cap. Salud Mental Salud Mental - Ley 30947		Área SSOMA	Todo el personal	Programado en el mes 	Planeado											1		1	0%	Sensibilización		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
19	Cap. Efectos de la radiación Solar		Área SSOMA	Todo el personal	Programado en el mes 	Planeado	1					1							2	100%	Sensibilización		Planeado	1	148	0
						Ejecutado	1					1							2				Ejecutado	1		0
20	Cap. Radiación ultravioleta		Área SSOMA	Todo el personal	Programado en el mes 	Planeado						1							1	100%	Sensibilización		Planeado	0		0
						Ejecutado						1							1				Ejecutado	0		0
21	Campaña ATS (Peligro, Riesgo, Medidas de control, Riesgo inicial, residual).		Área SSOMA	Todo el personal	Programado en el mes 	Planeado		1											1	100%	Campaña		Planeado	0		1
						Ejecutado		1											1				Ejecutado	0		1
22	Campaña de interacción hombre maquina		Área SSOMA	Todo el personal	Programado en el mes 	Planeado			1										1	100%	Campaña		Planeado	0		0
						Ejecutado			1										1				Ejecutado	0		0
23	Campaña de protección de manos		Área SSOMA	Todo el personal	Programado en el mes 	Planeado						1							1	100%	Campaña		Planeado	0		0
						Ejecutado						1							1				Ejecutado	0		0
24	Campaña de uso de cinturón de seguridad		Área SSOMA	Todo el personal	Programado en el mes 	Planeado									1				1	0%	Campaña		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
25	Campaña de vida saludable		Área SSOMA	Todo el personal	Programado en el mes 	Planeado								1					1	0%	Campaña		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
26	Campaña COVID 19		Área SSOMA	Todo el personal	Programado en el mes 	Planeado					1								1	100%	Campaña		Planeado	0		0
						Ejecutado					1								1				Ejecutado	0		0
27	Campaña prevención del estrés		Área SSOMA	Todo el personal	Programado en el mes 	Planeado							1						1	0%	Campaña		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
28	Campaña del VIH SIDA		Área SSOMA	Todo el personal	Programado en el mes 	Planeado											1		1	0%	Campaña		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
29	Difusión del PASST 		Área SSOMA	Todo el personal	Programado en el mes 	Planeado		1											1	100%	Difusión		Planeado	0		1
						Ejecutado		1											1				Ejecutado	0		1
30	Herramientas manuales y eléctricas		Área SSOMA	Todo el personal	Programado en el mes 	Planeado			1				1				1		3	33%	Sensibilización		Planeado	0		0
						Ejecutado			1										1				Ejecutado	0		0
31	Control de materiales y químicos peligrosos hoja MSDS		Área SSOMA	Todo el personal	Programado en el mes 	Planeado					1								1	100%	Sensibilización		Planeado	0		0
						Ejecutado					1								1				Ejecutado	0		0
32	Riesgos de seguridad y salud por polvo		Área SSOMA	Personal especifico	Programado en el mes 	Planeado				1									1	100%	Sensibilización		Planeado	0		0
						Ejecutado				1									1				Ejecutado	0		0
33	Enfermedades respiratorias ocupacionales		Área SSOMA	Todo el personal	Programado en el mes 	Planeado	1												1	100%	Sensibilización		Planeado	1	114	0
						Ejecutado	1												1				Ejecutado	1		0
34	Primeros auxilios		Área SSOMA	Todo el personal	Programado en el mes 	Planeado													0	0%	Sensibilización		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
35	Hipoacusia		Área SSOMA	Todo el personal	Programado en el mes 	Planeado													0	0%	Sensibilización		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
36	Cuidado de ojo		Área SSOMA	Todo el personal	Programado en el mes 	Planeado													0	0%	Sensibilización		Planeado	0		0
						Ejecutado													0				Ejecutado	0		0
						Planeado	5	10	9	4	6	11	5	5	6	4	9	5	79	57%			Planeado	5		10
						Ejecutado	5	10	9	4	6	11	0	0	0	0	0	0	45				Ejecutado	5		10
						% de cump.	100%	100%	100%	100%	100%	100%	0%	0%	0%	0%	0%	0%	57%				% de cump.	100%		100%
																										
Objetivo General 3 :		Identificar y evaluar permanentemente los peligros y controlar los riesgos con el propósito de eliminarlos o reducirlos y así proporcionar condiciones de trabajo seguras y saludables para la prevención de lesiones, dolencias, enfermedades e incidentes relacionados con el trabajo, minimizando la ocurrencia de accidentes de trabajo y enfermedades profesionales de nuestros colaboradores, proveedores y terceros. 					Objetivos Específico:				Se elabora un plan de inspección, se implementará el sistema de reportes de actos y condiciones con el propósito de eliminarlos o reducirlos los lesiones, dolencias, enfermedades e incidentes.															
Meta:		Ejecutar las inspecciones como como meta 90 aceptable 85%		Objetivo 3 目標3			Indicador:				"  inspecciones Ejecutadas    x 100
inspecciones Planificadas"															
Presupuesto:		Lo que requiera cada actividad					Recursos:				Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.															
																										
III. Inspecciones																					Observaciones					
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	ZONA	EJECUCIÓN														TOTAL	% Avance						
					Período	Plan	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
1	Inspecciones y observaciones maquinaria Línea amarilla (Excavadoras, retro, perforadora, cargador, tractor)		SSOMA	Pq2	Programado en el mes 	Planeado	6	6	6	6	6	6	6	6	6	6	6	6	72.00	50%	Se cuenta con trabajos eventuales en sitio					
						Ejecutado	6	6	6	6	6	6							36.00							
2	Inspecciones y observaciones vehículos (Volquetes, camionetas, camiones.)		SSOMA	Pq2	Programado en el mes 	Planeado	6	6	6	6	6	6	6	6	6	6	6	6	72.00	50%	Se inicia en el mes de julio debido a ingreso a sitio					
						Ejecutado	6	6	6	6	6	6							36.00							
3	Inspección de Equipos de Emergencia (Botiquines y estaciones.)		SSOMA	Pq2	Programado en el mes 	Planeado	12	12	12	12	12	12	12	12	12	12	12	12	144.00	50%	"Extintores
Botiquín entre otros"					
						Ejecutado	12	12	12	12	12	12							72.00							
4	Inspección de Equipos de Emergencia (Extintores)		SSOMA	Pq2	Programado en el mes 	Planeado	12	12	12	12	12	12	12	12	12	12	12	12	144.00	49%						
						Ejecutado	12	12	12	12	12	10							70.00							
5	Inspección de Herramientas manuales y eléctricas		SSOMA	Pq2	Programado en el mes 	Planeado	1	1	1	1	4	4	4	4	4	4	4	4	36.00	33%	Inspección en sitio					
						Ejecutado	1	1	1	1	4	4							12.00							
6	Inspección de generador, tableros eléctrico 		SSOMA	Pq2	Programado en el mes 	Planeado	3	3	3	3	3	3	3	3	3	3	3	3	36.00	44%						
						Ejecutado	3	3	3	3	3	1							16.00							
7	Inspección de EPP básico o especifico		SSOMA	Pq2	Programado en el mes 	Planeado	2	2	2	2	4	4	4	4	4	4	4	4	40.00	40%						
						Ejecutado	2	2	2	2	4	4							16.00							
8	Inspección de Señalización Vial 		SSOMA	Pq2	Programado en el mes 	Planeado	2	2	2	2	2	2	2	2	2	2	2	2	24.00	50%						
						Ejecutado	2	2	2	2	2	2							12.00							
9	Inspección de vías de acceso y bermas de seguridad plataformas de descarga de material		SSOMA	Pq2	Programado en el mes 	Planeado	4	4	4	4	4	4	4	4	4	4	4	4	48.00	48%						
						Ejecutado	4	4	4	4	4	3							23.00							
10	Inspección de Señalización de Obra 		SSOMA	Pq2	Programado en el mes 	Planeado	2	2	2	2	2	2	2	2	2	2	2	2	24.00	46%						
						Ejecutado	2	2	2	2	2	1							11.00							
11	Inspección del campamento comedores y talleres 		SSOMA	Pq2	Programado en el mes 	Planeado	2	2	2	2	2	2	2	2	2	2	2	2	24.00	50%						
						Ejecutado	2	2	2	2	2	2							12.00							
12	Inspección del almacén de productos químicos MSDS 		SSOMA	Pq2	Programado en el mes 	Planeado	2	2	2	2	2	2	2	2	2	2	2	2	24.00	42%						
						Ejecutado	2	2	2	2	2								10.00							
13	Inspección de orden y limpieza de áreas de trabajo		SSOMA	Pq2	Programado en el mes 	Planeado	4	4	4	4	4	4	4	4	4	4	4	4	48.00	46%						
						Ejecutado	4	4	4	4	4	2							22.00							
14	Inspección de Procedimientos de trabajo		SSOMA	Pq2	Programado en el mes 	Planeado	4	4	4	4	4	4	4	4	4	4	4	4	48.00	46%						
						Ejecutado	4	4	4	4	4	2							22.00							
15	Inspección de escalera		SSOMA	Pq2	Programado en el mes 	Planeado	1	1	1			1			1			1	6.00	50%						
						Ejecutado	1	1	1										3.00							
16	Inspección de ambulancia		SSOMA	Pq2	Programado en el mes 	Planeado	1	1	1	1	2	2	2	2	2	2	2	2	20.00	35%						
						Ejecutado	1	1	1	1	2	1							7.00							
17	Inspección de SSHH / lava manos		SSOMA	Pq2	Programado en el mes 	Planeado	1	1	1	1	4	4	4	4	4	4	4	4	36.00	33%						
						Ejecutado	1	1	1	1	4	4							12.00							
18	Inspección de puntos de hidratación 		SSOMA	Pq2	Programado en el mes 	Planeado	1	1	1	1	4	4	4	4	4	4	4	4	36.00	33%						
						Ejecutado	1	1	1	1	4	4							12.00							
19	Inspección de Equipo contra caídas (arnés, línea de vida, etc.)		SSOMA	Pq2	Programado en el mes 	Planeado		1	1	1	1	1	1	1	1	1	1	1	11.00	45%						
						Ejecutado		1	1	1	1	1							5.00							
20	Inspección de trabajos de alto riesgo.		SSOMA	Pq2	Programado en el mes 	Planeado			1	1	4	4	4	4	4	4	4	4	34.00	24%						
						Ejecutado			1	1	4	2							8.00							
21	Adicional Inspección de estacionar vehículo		SSOMA	Pq2	Programado en el mes 	Planeado			4	4	4	4	4	4	4	4	4	4	40.00	40%						
						Ejecutado			4	4	4	4							16.00							
						Planeado	66	67	72	71	86	87	86	86	87	86	86	87	967.00	45%						
						Ejecutado	66	67	72	71	86	71	0	0	0	0	0	0	433.00							
						% de cump.	100%	100%	100%	100%	100%	82%	0%	0%	0%	0%	0%	0%	45%							
																										
Meta:		Ejecutar los RAC como como meta 90 aceptable 85% - Objetivo 4 目標4					Indicador:				"  RAC Ejecutadas    x 100
RAC Planificadas"															
Presupuesto:		Lo que requiera cada actividad					Recursos:				Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.															
																										
III.1. Programa de identificación de actos y condiciones inseguras en la Obra																					Observaciones					
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	PÚBLICO OBJETIVO	EJECUCIÓN		PERIODO DE EJECUCION 2025												TOTAL	% Avance						
					Período	Plan	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
1	Implementación del sistema de RAC		SSOMA	Todo el personal	Programado en el mes 	Planeado													0.00	0%	Se implemento en el 2024					
						Ejecutado													0.00							
2	Reporte de actos y condiciones insegura		SSOMA	Todo el personal	Programado en el mes 	Planeado	50	50	50	50	50	50	50	50	50	50	50	50	600.00	45%						
						Ejecutado	50	50	50	50	50	21							271.00							
						Planeado	50	50	50	50	50	50	50	50	50	50	50	50	600	45%						
						Ejecutado	50	50	50	50	50	21	0	0	0	0	0	0	271							
						% de cump.	100%	100%	100%	100%	100%	42%	0%	0%	0%	0%	0%	0%	45%							
																										
Meta:		Ejecutar las actividades de Salud como Cumplimiento aceptable 90 % - Objetivo 5 目標 5					Indicador:				"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)"															
Presupuesto:		Lo que requiera cada actividad					Recursos:				Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.															
																										
V. Programa de Actividades de Salud																					Observaciones					
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	PÚBLICO OBJETIVO	EJECUCIÓN		PERIODO DE EJECUCION 2025												TOTAL	% Avance						
					Período	Plan	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
1	Realizar EMO		Área SSOMA	Todo el personal	Programado en el mes 	Planeado	1	1	1	1	1	1	1	1	1	1	1	1	12.00	50%	Esta cantidad es referencia al ingreso de personal puede variar					
						Ejecutado	1	1	1	1	1	1							6.00							
2	Realizar entrega certificado y resultados de EMO 		Área SSOMA	Todo el personal	Programado en el mes 	Planeado	1	1	1	1	1	1	1	1	1	1	1	1	12.00	50%	Esta cantidad es referencia al ingreso de personal puede variar					
						Ejecutado	1	1	1	1	1	1							6.00							
3	Actividades de Salud del PASO		Área SSOMA	Todo el personal	Programado en el mes 	Planeado	1	1	1	1	26	23	22	28	22	21	25	25	196.00	27%	En relación con el PASSO					
						Ejecutado	1	1	1	1	26	23							53							
4	Monitoreo de Agentes Físico, Ergonómicos y Psicosociales		Área SSOMA	Algunos puesto de trabajo	Anual	Planeado												1	1.00	0%						
						Ejecutado													0							
						Planeado	2	2	2	2	27	24	23	29	23	22	26	27	209	28%						
						Ejecutado	2	2	2	2	27	24	0	0	0	0	0	0	59							
						% de cump.	100%	100%	100%	100%	100%	100%	0%	0%	0%	0%	0%	0%	28%							
																										
Meta:		Preparación de emergencia (Simulacros) Cumplimiento aceptable 90 % - Objetivo 6 目標 6					Indicador:				"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)"															
Presupuesto:		Lo que requiera cada actividad					Recursos:				Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.															
																										
VI. PREPARACION Y RESPUESTA ANTE EMERGENCIA																					Observaciones					
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	PÚBLICO OBJETIVO	EJECUCIÓN		PERIODO DE EJECUCION 2025												TOTAL	% Avance						
					Período	Plan	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
1	Revisión y difusión del plan de contingencias.		Área SSOMA	Brigadistas	Anual	Planeado	1												1.00	100%						
						Ejecutado	1												1							
2	Simulacro de inundación		Área SSOMA	Brigadistas / Todo el personal	Anual	Planeado	1												1.00	100%						
						Ejecutado	1												1							
3	Simulacro contra sismos.		Área SSOMA	Brigadistas / Todo el personal		Planeado					1			1			1		3.00	33%						
						Ejecutado					1								1							
4	 Simulacro de primeros auxilios.		Área SSOMA	Brigadistas / Todo el personal	Anual	Planeado												1	1.00	0%						
						Ejecutado													0							
5	Simulacro de extinción de incendios.		Área SSOMA	Brigadistas / Todo el personal	Anual	Planeado										1			1.00	0%						
						Ejecutado													0							
6	Simulacro de explosiones 		Área SSOMA	Brigadistas 	Anual	Planeado										1			1.00	0%						
						Ejecutado													0							
7	Capacitación de Primeros Auxilios: Fisiología de la Vida y la Muerte Evaluación de la Escena y Evaluación Primaria		Área SSOMA	Brigadistas 	Anual	Planeado						1							1.00	0%						
						Ejecutado													0							
8	"Capacitación de Primeros Auxilios: Vías aéreas
Respiración, Ventilación y Oxigenación"		Área SSOMA	Brigadistas 	Anual	Planeado							1						1.00	0%						
						Ejecutado													0							
9	Capacitación de Primeros Auxilios: Circulación, Hemorragia y Shock		Área SSOMA	Brigadistas 	Anual	Planeado								1					1.00	0%						
						Ejecutado													0							
10	Capacitación de Primeros Auxilios: Atragantamiento		Área SSOMA	Brigadistas 	Anual	Planeado									1				1.00	0%						
						Ejecutado													0							
11	Capacitación de Primeros Auxilios: Evaluación Secundaria		Área SSOMA	Brigadistas 	Anual	Planeado										1			1.00	0%						
						Ejecutado													0							
12	Capacitación de Primeros Auxilios: Estaciones Prácticas - ABCD & P		Área SSOMA	Brigadistas 	Anual	Planeado											1		1.00	0%						
						Ejecutado													0							
13	Capacitación de reacción en caso de sismos		Área SSOMA	Brigadistas / Todo el personal	Anual	Planeado					1			1			1		3.00	33%						
						Ejecutado					1								1							
14	Capacitación reacción contra inundaciones		Área SSOMA	Brigadistas / Todo el personal	Anual	Planeado	1												1.00	100%						
						Ejecutado	1												1							
15	Capacitación de extinción de incendios. Uso de extintores		Área SSOMA	Brigadistas / Todo el personal	Anual	Planeado										1			1.00	0%						
						Ejecutado													0							
16	Capacitación de manejo de materiales peligrosos		Área SSOMA	Brigadistas / Todo el personal	Anual	Planeado											1		1.00	0%						
						Ejecutado													0							
						Planeado	3	0	0	0	2	1	0	2	0	3	3	1	15	33%						
						Ejecutado	3	0	0	0	2	0	0	0	0	0	0	0	5							
						% de cump.	100%	0%	0%	0%	100%	0%	0%	0%	0%	0%	0%	0%	33%							
																										
Meta:		Auditoria Ejecutar las actividades como Cumplimiento aceptable 90 % - Objetivo 7 目標 7					Indicador:				"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)"															
Presupuesto:		Lo que requiera cada actividad					Recursos:				Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.															
																										
VI. AUDITORIAS DE SEGURIDAD Y SALUD EN EL TRABAJO 																					Observaciones					
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	PÚBLICO OBJETIVO	EJECUCIÓN		PERIODO DE EJECUCION 2025												TOTAL	% Avance						
					Período	Plan	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
vi.1	Auditoría Interna de seguridad y salud en el trabajo		CENTRAL SINOHYDRO	SSOMA	Anual	Planeado												1	1.00	0%	Se reprogramo la auditoria interna para Diciembre del 2025 por no coincidir con las fechas programada en diciembre del 2024 					
						Ejecutado													0							
						Planeado	0	0	0	0	0	0	0	0	0	0	0	1	1.00	0%	Artículo 90.- La revisión del sistema de gestión de la seguridad y salud en el trabajo se realiza por lo menos una (1) vez al año. El alcance de la revisión debe definirse según las necesidades y riesgos presentes.					
						Ejecutado	0	0	0	0	0	0	0	0	0	0	0	0	0							
						% de cump.	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%							
																										
																										
		Aprobado por el Presidente del SCSST		Revisado por residente de obra				Elaborado Por Jefe SSOMA																		
		  Yoshio Valenzuela Blanco 		Edwin Velarde Tintaya				Jose Luis Cancino																		
																										
																										
																										
Capacitaciones																										
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	PÚBLICO OBJETIVO	EJECUCIÓN		PERIODO DE EJECUCION 2025												TOTAL	% Avance						
					Período	Plan	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
1	Indicador de capacitacion		PQ2 SINOHYDRO	SSOMA	Anual	HHC	1862.0	1458.8	2204.0	2084.8	2003.3	2526.5	0.0	0.0	0.0	0.0	0.0	0.0	12139.30	22.4						
						HHT	37545.0	40178.5	47623.5	47991.0	50580.5	48147.0	0.0	0.0	0.0	0.0	0.0	0.0	272066							
						% de cump.	5.0%	3.6%	4.6%	4%	4%	5%	0%	0%	0%	0%	0%	0%	27%							
2	Cantidad de personal		PQ2 SINOHYDRO	SSOMA	Anual	Indirecto	82	81	97	95	93	92														
						Directo	104	115	121	148	162	157														
						Servicio Terceros 	12	12	12	9	9	8	0	0	0	0	0	0	0							
						Xtrime	10	10	10																	
						Wayki	2	2	2	2	2	2														
						F&A				1	1	1														
						Real Servis				6	6	5														
																										
Accidentabilidad																										
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	PÚBLICO OBJETIVO	EJECUCIÓN	PERIODO DE EJECUCION 2025													TOTAL	% Avance						
					Período	 	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
vi.1	Indicador de Accidentabilidad		PQ2 SINOHYDRO	SSOMA	Anual	N° de incidentes Mes	1	1	0	1	1	0	0	0	0	0	0	0	4	0.0						
						N° de incidentes acumulados	3	4	4	5	6	6	6	6	6	6	6	6	6							
						N° de incidentes peligrosos Mes	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° de incidentes peligrosos Acumulado	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° Accidente con daño a la propiedad mes	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° Accidente con daño a la propiedad Acumulado	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° Accidente leve	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° Accidente leve Acumulado	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° Accidente incapacitantes	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° Accidente incapacitantes Acumulado	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° Accidente Mortales	0	0	0	0	0	0	0	0	0	0	0	0	0							
						HP Horas Hombre trabajadas	37545	40179	47624	47991	50581	48147	0	0	0	0	0	0	272066							
						HP Horas Hombre trabajadas acumulado	37545	77724	125347	173338	223919	272066	272066	272066	272066	272066	272066	272066	272066							
						N° dias perdidos	0	0	0	0	0	0	0	0	0	0	0	0	0							
						N° dias perdidos Acumulados	0	0	0	0	0	0	0	0	0	0	0	0	0							
						IF Indicice de frecuencia	0	0	0	0	0	0	0	0	0	0	0	0	0		IF = (N° numero de accidentes del mes / Total dedias del mes mes) × 1,000,000					
						IF Anual  Indicice de frecuencia	0	0	0	0	0	0	0	0	0	0	0	0	0		IF = (N° numero de accidentes en lo que va del año  / Total de dias perdidos del año) × 1,000,000					
						IS Indice severidad 	0	0	0	0	0	0	0	0	0	0	0	0	0		IS = (N° numero de dias perdidos en el mes  / Total de horas-hombre trabajadas del mes) × 1,000,000					
						IS Anual Indice severidad 	0	0	0	0	0	0	0	0	0	0	0	0	0		IS = (N° numero de dias perdidos en lo que va del año  / Total de horas-hombre trabajadas del año) × 1,000,000					
						IA Indice de accidentabilidad	0	0	0	0	0	0	0	0	0	0	0	0	0		IA=(IFxIS)/1000					
						IA Anual  Indice de accidentabilidad	0	0	0	0	0	0	0	0	0	0	0	0	0		IA=(IFxIS)/1000					
																										
																										
																										
																										
Meta:		Ejecutar las actividades de medio ambiente como Cumplimiento aceptable 90 % - Objetivo 8 目標 8					Indicador:				"%Acta.( N.º Programas realizadas*100%
(N.º Programas programadas)"															
Presupuesto:		Lo que requiera cada actividad					Recursos:				Ley N° 29783, D.S. N° 005-2012 -TR, Equipos de computo, Microsoft Office, entre otros.															
																										
Actividades medio ambiente																					Observaciones					
ITEM	DETALLE DE LA ACTIVIDAD		RESPONSABLES	PÚBLICO OBJETIVO	EJECUCIÓN		PERIODO DE EJECUCION 2025												TOTAL	% Avance						
					Período	Plan	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC								
1	Inspección de Kit antiderrames de los equipos y estacionarios		Especialista Ambiental	Operadores	Anual	Planeado	3	3	3	3	3	3	3	3	3	3	3	3	36.00	50%						
						Ejecutado	3	3	3	3	3	3							18							
2	Charla Ambiental		Especialista Ambiental	 Todo el personal	Anual	Planeado	4	4	4	4	4	3	3	3	3	3	3	3	41.00	56%						
						Ejecutado	4	4	4	4	4	3							23							
3	Capacitación ambiental		Especialista Ambiental	 Todo el personal	Anual	Planeado	2	2	2	2	2	1	1	1	1	1	1	1	17.00	65%						
						Ejecutado	2	2	2	2	2	1							11							
4	Verificación de la segregación en punto de trabajo		Especialista Ambiental	 Todo el personal	Anual	Planeado	5	5	5	5	5	4	4	4	4	4	4	4	53.00	55%						
						Ejecutado	5	5	5	5	5	4							29							
5	Verificación de la segregación en DTR y Almacen de MATPEL		Especialista Ambiental	 Todo el personal	Anual	Planeado	3	3	3	3	3	3	3	3	3	3	3	3	36.00	50%						
						Ejecutado	3	3	3	3	3	3							18							
6	Campaña Ambiental		Especialista Ambiental	 Todo el personal	Anual	Planeado	3	3	3	3	3	3	0	0	1	0	0	1	20.00	90%						
						Ejecutado	3	3	3	3	3	3							18							
7	Verificación de los controles ambientales		Especialista Ambiental	 Todo el personal	Anual	Planeado	15	15	15	15	15	12	12	12	12	12	12	12	159.00	55%						
						Ejecutado	15	15	15	15	15	12							87							
8	Ahuyentamiento de fauna 		Especialista Ambiental	 Todo el personal	Anual	Planeado	2	2	2	2	2	2	0	0	0	0	0	0	12.00	92%						
						Ejecutado	2	2	2	2	2	1							11							
9	Rescate y reubicación de flora 		Especialista Ambiental	 Todo el personal	Anual	Planeado													0.00	0%						
						Ejecutado													0							
10	Ubicación de baños quimicos y coordinación con al EO-RS para su mantenimiento 		Especialista Ambiental	 Todo el personal	Anual	Planeado	12	12	12	12	12	10	10	10	10	10	10	10	130.00	53%						
						Ejecutado	12	12	12	12	12	9							69							
11	Verificación del Control de polvo a través de riego con cisterna 		Especialista Ambiental	 Todo el personal	Anual	Planeado	27	27	27	27	25	20	20	20	20	20	20	20	273.00	55%						
						Ejecutado	27	27	27	27	25	17							150							
12	Emisión de informe semanal		Especialista Ambiental	Especialista Ambiental	Anual	Planeado	4	4	4	4	4	4	4	4	4	4	4	4	48.00	48%						
						Ejecutado	4	4	4	4	4	3							23							
13	Emisión de informe mensual		Especialista Ambiental	Especialista Ambiental	Anual	Planeado	1	1	1	1	1	1	1	1	1	1	1	1	12.00	42%						
						Ejecutado	1	1	1	1	1								5							
						Planeado	81	81	81	81	79	66	61	61	62	61	61	62	837	55%						
						Ejecutado	81	81	81	81	79	59	0	0	0	0	0	0	462							
						% de cump.	100%	100%	100%	100%	100%	89%	0%	0%	0%	0%	0%	0%	55%							
																										
																										
																										
																										
Personal																										
	Lunes 	Martes	Miércoles	Jueves	Viernes	Sábado	Domingo																			
Fecha	2	3	4	5	6	7	8																			
Dia	116	112	127	121	121	120	0																			
Noche	68	69	67	67	67	64	0																			
Oficina	22	17	14	14	15	16	0																			
Total	206	198	208	202	203	200	0																			
Fecha	9	10	11	12	13	14	15																			
Dia	113	122	117	123	123	123	0																			
Noche	56	51	58	58	51	58	0																			
Oficina	21	22	18	18	17	19	0																			
Total	190	195	193	199	191	200	0																			
Fecha	16	17	18	19	20	21	22																			
Dia	122	116	117	105	106	122	52																			
Noche	68	69	67	71	65	59	0																			
Oficina	16	15	18	11	16	16	0																			
Total	206	200	202	187	187	197	52																			
Fecha	23	24	25	26	27	28	29																			
Dia	103	127	95	117	127	109	0																			
Noche	51	57	54	62	58	57	0																			
Oficina	17	21	18	19	16	13	0																			
Total	171	205	167	198	201	179	0																			
Fecha	30																									
Dia	0	0	0	0	0	0	0																			
Noche	0	0	0	0	0	0	0																			
Oficina	0	0	0	0	0	0	0																			
Total	0	0	0	0	0	0	0																			
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
